iter	Passed	Remaining
0	5	2700
1	10	2696
2	15	2624
3	21	2642
4	26	2594
5	31	2565
6	36	2589
7	41	2578
8	46	2549
9	52	2557
10	57	2559
11	62	2527
12	67	2525
13	72	2503
14	77	2491
15	82	2486
16	87	2488
17	92	2471
18	97	2465
19	102	2454
20	107	2440
21	111	2428
22	116	2420
23	121	2414
24	127	2415
25	132	2406
26	138	2425
27	144	2430
28	149	2431
29	155	2430
30	161	2441
31	166	2433
32	171	2426
33	177	2426
34	182	2430
35	188	2424
36	193	2424
37	199	2420
38	204	2421
39	210	2419
40	215	2413
41	221	2410
42	227	2419
43	234	2426
44	238	2415
45	243	2404
46	248	2397
47	253	2390
48	259	2392
49	264	2383
50	270	2380
51	275	2372
52	280	2365
53	285	2356
54	290	2352
55	295	2343
56	300	2338
57	305	2330
58	311	2325
59	315	2316
60	320	2307
61	325	2300
62	330	2294
63	336	2289
64	341	2285
65	347	2282
66	352	2276
67	357	2271
68	363	2269
69	369	2271
70	375	2269
71	381	2267
72	388	2271
73	394	2273
74	401	2273
75	408	2276
76	414	2275
77	420	2276
78	426	2273
79	431	2266
80	437	2262
81	443	2258
82	449	2256
83	455	2253
84	460	2249
85	466	2245
86	471	2239
87	477	2234
88	482	2229
89	488	2223
90	493	2218
91	498	2212
92	503	2205
93	509	2198
94	514	2193
95	521	2195
96	527	2192
97	532	2185
98	537	2179
99	543	2173
100	548	2167
101	554	2164
102	560	2159
103	565	2152
104	570	2145
105	575	2139
106	581	2134
107	586	2127
108	591	2120
109	596	2116
110	602	2110
111	607	2105
112	613	2099
113	618	2094
114	624	2089
115	629	2084
116	635	2080
117	641	2075
118	646	2069
119	651	2062
120	656	2057
121	662	2051
122	666	2044
123	672	2038
124	677	2033
125	685	2035
126	691	2029
127	696	2024
128	702	2019
129	707	2013
130	713	2010
131	719	2006
132	724	1999
133	730	1994
134	735	1988
135	740	1982
136	746	1977
137	751	1971
138	756	1965
139	762	1960
140	768	1957
141	774	1953
142	780	1949
143	786	1945
144	792	1940
145	797	1934
146	824	1979
147	829	1973
148	836	1970
149	841	1963
150	846	1957
151	852	1951
152	858	1947
153	865	1945
154	870	1938
155	876	1933
156	881	1926
157	886	1919
158	891	1913
159	898	1908
160	902	1901
161	908	1895
162	913	1889
163	919	1882
164	925	1878
165	931	1873
166	937	1870
167	943	1864
168	948	1857
169	954	1852
170	959	1846
171	964	1838
172	970	1835
173	976	1828
174	981	1822
175	985	1814
176	990	1807
177	995	1800
178	1000	1794
179	1005	1786
180	1009	1779
181	1015	1773
182	1019	1766
183	1025	1760
184	1031	1756
185	1037	1750
186	1042	1744
187	1047	1737
188	1051	1730
189	1057	1724
